Name,Host Galaxy,Host Galaxy RA, Host Galaxy Dec,zHELIO from host,Host z Group/Name,Host z Reference,Host z Reference Code,Spectral Subtype,Classification Name/Group,Type Reference,Type Reference Code,ATel/CBET,Discovery Group/Individual,Discovery Reference,SN R.A.,SN Dec.,tmax,zCMB,zHELIO from SN,Citation for SN,Other Notes
SN2014J,NGC 3034,55:52.7,+69:40:46,0.000677,Third Reference Catalogue of Bright Galaxies,de Vaucouleurs  et al. (1991),DV91,Ia-VH,Y. Cao ,Cao et al. (2014),Cao14,ATel 5786 CBET 3792,Fossey,Fossey (2014),55:42.1,+69:40:26.0,20140201,0.0009406,0.000677,,galaxy aka Messier 82 and supernova aka PSN J09554214+6940260
SN2014aa,NGC 3861,45:03.9,+19:58:25,0.016982,The Arecibo Galaxy Environment Survey ,Cortese et al. (2008),Cort08,Ia,Asiago; PESSTO ,Tomasella et al. (2014); Blagorodnova et al. (2014),Toma14; Blag14,ATel 5958 ATel 5961 CBET 3823,Arbour,Arbour (2014),45:03.6,+19:58:25.4,20140316,0.01807,0.01,Blagorodnova et al.(2014),supernova aka PSN J11450358+1958254
LSQ14ahm,LCRS B113847.5-120647,41:20.0,-12:23:26,,,,,Ia,PESSTO,Blagorodnova et al. (2014),Blag14,ATel 5961 ATel 3812,LSQ,Hadjiyska et al. (2011),41:22.4,-12:23:57.5,20140319,,0.05,Blagorodnova et al.(2014),supernova aka CSS140325:114122-122357
LSQ14xi,2MASX J12304088-1346236,30:40.9,-13:46:24,0.050778,6dF Galaxy Survey,Jones et al. (2009),Jones09,Ia,PESSTO,Blagorodnova et al. (2014),Blag14,ATel 5934 ATel 3812 ,LSQ ,Hadjiyska et al. (2011),30:40.3,-13:46:29.5,20140306,0.05194,0.05,Blagorodnova et al.(2014),
LSQ14age,,,,,,,,Ia,PESSTO,M. Fraser et al.(2014),Fraser14,ATel 5968 ATel 3812,LSQ,Hadjiyska et al. (2011),24:08.0, -13:26:40.27,20140312,,0.06,M. Fraser et al.(2014),
PS1-14ra,IC 1044,41:29.0,+09:25:51,0.028103,The Updated Zwicky Catalog,Falco et al. (1998),Falco98,Ia,PESSTO,Walton et al. (2014),Walt14,ATel 5957 ATel 2668,PS1,Valenti et al(2010),41:28.4,+09:25:58.7,20140307,0.02882,0.03,Walton et al. (2014),
PSNJ15044009+1237540,NGC 5837,04:40.6,+12:38:00,0.028723,The IRAS 1.2 Jy Survey,Fisher et al. (1995),Fisher95,Ia,PESSTO,Walton et al. (2014),Walt14,ATel 5970 CBET 3830,Leonini,Leonini et al. (2014),04:40.1,+12:37:54.0,20140310,0.02932,0.03,Walton et al. (2014),supernova aka SN2014ac
LSQ14aeg,2MASX J10193682+1933131,19:36.8,+19:33:14,0.064676,SDSS,SDSS Data Release 6 (2007),SDSSDR6,Ia,PESSTO,Walton et al. (2014),Walt14,ATel 5970 ATel 3812,LSQ,Hadjiyska et al.(2011),19:36.8,+19:33:20.4,20140310,0.06575,0.06,Walton et al. (2014),supernova aka MLS140308:101937+193321
PS1-14rx,SDSS J124653.32+144748.4,46:53.3,+14:47:48,0.066559,SDSS,SDSS Data Release 4(2005),SDSSDR4,Ia,PESSTO,Walton et al.(2014),Walt14,ATel 5970 ATel 2668,PS1,Valenti et al.(2010),46:53.4,+14:47:50.1,20140316,0.06761,0.06,Walton et al. (2014),
LSQ14act,2MASX J15594429-1026396,59:44.3,-10:26:40,0.059091,6dF Galaxy Survey,Jones et al. (2009),Jones09,Ia,PESSTO,Blagorodnova et al. (2014),Blag14,ATel 5961 ATel 3812,LSQ, Hadjiyska et al.(2011),59:44.6,-10:26:40.8,20140308,0.05949,0.06,Blagorodnova et al.(2014),;
